sample_id,language,source_proverb,gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,original_gold,gen_attempts,gen_info
YOR0996,Yoruba,"Ọkọ̀ ńjò, ọkọ̀ ńjò! Ìgbà tó bá rì, kò parí ná?",Ẹni kò le ṣe nípa ìyà ló sílẹ̀ pé ọ le ṣe ẹkọ̀,"[""Ẹni le ṣe ìyà pẹ̀lẹ̀ pé ọ le ṣe ìwà rẹ̀ nípa ìyà"", ""Ọ̀rọ̀ ńṣààrẹ̀ ìṣẹ̀ láìti ìṣẹ̀ tí wọn ńṣẹ̀ẹ̀"", ""Ọ̀rọ̀ lẹ́wọ̀n ìṣẹ̀ tí wọn ńṣẹ̀ẹ̀ nípa ìyà rẹ̀""]",False,S2,Ẹni le ṣe ìyà pẹ̀lẹ̀ pé ọ le ṣe ìwà rẹ̀ nípa ìyà,Ọ̀rọ̀ ńṣààrẹ̀ ìṣẹ̀ láìti ìṣẹ̀ tí wọn ńṣẹ̀ẹ̀,Ọ̀rọ̀ lẹ́wọ̀n ìṣẹ̀ tí wọn ńṣẹ̀ẹ̀ nípa ìyà rẹ̀,Ẹni kò le ṣe nípa ìyà ló sílẹ̀ pé ọ le ṣe ẹkọ̀,D,There is little one can do about a problem whose outcome is inevitable.,1.0,generated
YOR2981,Yoruba,Ta ní tó Ọlọ́run? Ẹdá tó mọ̀la ò sí.,Ẹni ò le lè si ọlọrun kí wọn lè mọ̀ ẹ̀rí,"[""Ẹni ò le lè si ọlọrun kí wọn lè ṣe ìyàńsẹ́"", ""Ẹni ò le lè si ọlọrun kí wọn lè ṣe àwọn ìṣẹ́ kíkún"", ""Ẹni ò le lè si ọlọrun kí wọn lè jẹ́ ẹ̀rí láti wà ní ọ̀rọ̀""]",False,S2,Ẹni ò le lè si ọlọrun kí wọn lè jẹ́ ẹ̀rí láti wà ní ọ̀rọ̀,Ẹni ò le lè si ọlọrun kí wọn lè ṣe ìyàńsẹ́,Ẹni ò le lè si ọlọrun kí wọn lè mọ̀ ẹ̀rí,Ẹni ò le lè si ọlọrun kí wọn lè ṣe àwọn ìṣẹ́ kíkún,C,No one is as great or knowledgeable as God.,5.0,generated
YOR0333,Yoruba,Ilé kì í jó kí baálé tàkakà.,Ìlè kí ì jò kí bàálé tàkàkà: Ìwò ní láti kò sí inú àṣẹ tí ó ní ìwà pín lẹ́yìn rẹ̀,"[""Ìwò ní láti kò kànìyà ìṣẹ̀ òfìsì tí ó bẹ̀rẹ̀ láti rí ìṣẹ̀ rẹ̀"", ""Ìwò ní láti kò bẹ̀rẹ̀ ìṣẹ̀ tí ó yẹ̀ lẹ́yìn rẹ̀"", ""Ìwò ní láti kò sí inú àṣẹ tí ó bẹ̀rẹ̀ láti dí àwọn arákùnrá rẹ̀""]",False,S2,Ìwò ní láti kò bẹ̀rẹ̀ ìṣẹ̀ tí ó yẹ̀ lẹ́yìn rẹ̀,Ìwò ní láti kò kànìyà ìṣẹ̀ òfìsì tí ó bẹ̀rẹ̀ láti rí ìṣẹ̀ rẹ̀,Ìwò ní láti kò sí inú àṣẹ tí ó bẹ̀rẹ̀ láti dí àwọn arákùnrá rẹ̀,Ìlè kí ì jò kí bàálé tàkàkà: Ìwò ní láti kò sí inú àṣẹ tí ó ní ìwà pín lẹ́yìn rẹ̀,D,One must not ignore matters of grave concern to oneself.,1.0,generated
YOR3729,Yoruba,"Àtidé onígbàjámọ̀ là ḿmọ̀, a kì í mọ àtilọ.","Àtidé onígbàjámọ̀ là ῷmọ̀, a kì í mọ àtilọ","[""Ìbà lèyìn ní láì"", ""Ìbà rò ní láì"", ""Ìbà ní láì ní ìwò""]",False,S2,Ìbà rò ní láì,Ìbà lèyìn ní láì,Ìbà ní láì ní ìwò,"Àtidé onígbàjámọ̀ là ῷmọ̀, a kì í mọ àtilọ",D,"Once one has served one’s purpose, one is soon forgotten.",1.0,generated
YOR2860,Yoruba,‘‘Lọ fún mi nílé yìí’’ kọ́ ni ‘‘Lọ fún mi níbòmíràn.’’,"Ìyànjú lẹ́wọ̀n ẹ̀wọn ọ̀ṣìná ìṣẹ́, ẹ̀wọn kò sì ní ìṣẹ́ mìíràn.","[""Kò ní ìṣẹ́, kò sí ẹ̀wọn rí ìṣẹ́ níbí ẹ̀ké."", ""Ìṣẹ́ rí ìṣẹ́, kò kẹ́kọ̀ kí ẹ̀wọn ní ìṣẹ́ mìíràn."", ""Kí ẹ̀wọn lè yí ìṣẹ́ níbí ẹ̀ké, kò kẹ́kọ̀ kí ẹ̀wọn lè yí ìṣẹ́ nílé yìí.""]",False,S2,"Kò ní ìṣẹ́, kò sí ẹ̀wọn rí ìṣẹ́ níbí ẹ̀ké.","Kí ẹ̀wọn lè yí ìṣẹ́ níbí ẹ̀ké, kò kẹ́kọ̀ kí ẹ̀wọn lè yí ìṣẹ́ nílé yìí.","Ìṣẹ́ rí ìṣẹ́, kò kẹ́kọ̀ kí ẹ̀wọn ní ìṣẹ́ mìíràn.","Ìyànjú lẹ́wọ̀n ẹ̀wọn ọ̀ṣìná ìṣẹ́, ẹ̀wọn kò sì ní ìṣẹ́ mìíràn.",D,"If one is shut out of one opportunity, one can usually f ind another elsewhere.40 The following entry is a variant.",2.0,generated
YOR2804,Yoruba,"Gagalo-ó ṣubú, ọwọ́ tẹ apákó.","Gagalo-ó ṣubú, ọwọ́ tẹ apákó.","[""Moṣeṣe lati le gba ọwọ́ kẹkere."", ""Ẹni oṣẹ kọ̀ọ̀kọ̀ọ̀ kí ọwọ́ nípa ẹwà."", ""Ọwọ́ ní ẹni oṣẹ lẹkọ́rọ""]",False,S2,"Gagalo-ó ṣubú, ọwọ́ tẹ apákó.",Ẹni oṣẹ kọ̀ọ̀kọ̀ọ̀ kí ọwọ́ nípa ẹwà.,Moṣeṣe lati le gba ọwọ́ kẹkere.,Ọwọ́ ní ẹni oṣẹ lẹkọ́rọ,A,"When a person loses control, his or her belongings become fair game.",1.0,generated
YOR2336,Yoruba,A kì í dúpẹ́ ara ènì.,Grati tude is superfluous among close friends or relatives.,"[""A different interpretation of this proverb"", ""Another possible meaning"", ""An alternative cultural reading""]",True,S2,Another possible meaning,An alternative cultural reading,A different interpretation of this proverb,Grati tude is superfluous among close friends or relatives.,D,Grati tude is superfluous among close friends or relatives.,5.0,hard-fallback
YOR1756,Yoruba,"Bí ó ti ńdun ọmọ ẹyẹ, bẹ́ẹ̀ ló ńdun ọmọ èèyàn.","Bí ó ti ńdun ọmọ ẹyẹ, bẹ́ẹ̀ ló ńdun ọmọ èèyàn","[""Ẹyẹ̀ lè ní ìyìn èèyàn wọn rẹ̀ lẹ́kọ̀"", ""Ẹyẹ̀ kò lè wà ní ìwé ìwà èèyàn wọn"", ""Ẹyẹ̀ kò lè yí ìfẹ́ èèyàn wọn rẹ̀""]",False,S2,Ẹyẹ̀ kò lè yí ìfẹ́ èèyàn wọn rẹ̀,Ẹyẹ̀ lè ní ìyìn èèyàn wọn rẹ̀ lẹ́kọ̀,Ẹyẹ̀ kò lè wà ní ìwé ìwà èèyàn wọn,"Bí ó ti ńdun ọmọ ẹyẹ, bẹ́ẹ̀ ló ńdun ọmọ èèyàn",D,"Others feel hurt, just as we do.",1.0,generated
YOR3667,Yoruba,Amúniṣẹ̀sín ẹ̀tẹ̀ tí ńmúni lọ́gangan imú,Amúniṣẹ̀sín ẹ̀tẹ̀ tí ńmúni lọ́gangan imú,"[""Ẹní tí o bẹ̀rẹ̀ sí ẹ̀tẹ̀ rẹ̀ ní ìyìn tí o sì ńbẹ̀rẹ̀ kíkún síwá"", ""Ẹní tí o wà ní ìyìn tí o sì ńwà sí ẹ̀wé rẹ̀ ní ọ̀nà tí o sì ńwà síwá"", ""Ẹní tí o wà ní ẹ̀tẹ̀ tí o sì ńbẹ̀rẹ̀ síwá kí o wà ní ìyìn síwá""]",False,S2,Ẹní tí o bẹ̀rẹ̀ sí ẹ̀tẹ̀ rẹ̀ ní ìyìn tí o sì ńbẹ̀rẹ̀ kíkún síwá,Amúniṣẹ̀sín ẹ̀tẹ̀ tí ńmúni lọ́gangan imú,Ẹní tí o wà ní ìyìn tí o sì ńwà sí ẹ̀wé rẹ̀ ní ọ̀nà tí o sì ńwà síwá,Ẹní tí o wà ní ẹ̀tẹ̀ tí o sì ńbẹ̀rẹ̀ síwá kí o wà ní ìyìn síwá,B,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,2.0,generated
YOR3612,Yoruba,Adùn-únṣe bí àlejò omi.,Adùn-únṣe bí àlejò omi.,"[""Adùn-únṣe ló sì ní ẹ̀kọ́n kíkún."", ""Adùn-únṣe ló sì ní ẹ̀kọ́n kílẹ́wọ̀n."", ""Adùn-únṣe ló sì ní àwọn ẹ̀kọ́n kírẹ̀lẹ̀""]",False,S2,Adùn-únṣe ló sì ní àwọn ẹ̀kọ́n kírẹ̀lẹ̀,Adùn-únṣe ló sì ní ẹ̀kọ́n kílẹ́wọ̀n.,Adùn-únṣe ló sì ní ẹ̀kọ́n kíkún.,Adùn-únṣe bí àlejò omi.,D,A good deed that en tails hardly any cost is easily and cheerfully performed.,1.0,generated
YOR2716,Yoruba,"Bí a kò bá forí sọ, a kì í mọ ìrẹ̀-ẹ́ bẹ̀.","Bí a kò bá forí sọ, a kì í mọ ìrẹ̀-ẹ́ bẹ̀","[""Ẹ̀ṣẹ̀ mọ ẹ̀yìn kíkọ̀rọ̀ àwọn ẹ̀ṣìn"", ""Àwọn ẹ̀ṣìn kò le lè ṣe ìfẹ̀sẹ̀n ẹ̀rí"", ""Ìwé kò le ṣe ìfẹ̀sẹ̀n ẹ̀rí ẹ̀ṣẹ̀ ẹ̀wà""]",False,S2,Ẹ̀ṣẹ̀ mọ ẹ̀yìn kíkọ̀rọ̀ àwọn ẹ̀ṣìn,"Bí a kò bá forí sọ, a kì í mọ ìrẹ̀-ẹ́ bẹ̀",Àwọn ẹ̀ṣìn kò le lè ṣe ìfẹ̀sẹ̀n ẹ̀rí,Ìwé kò le ṣe ìfẹ̀sẹ̀n ẹ̀rí ẹ̀ṣẹ̀ ẹ̀wà,B,Nothing teaches caution like a mishap.,1.0,generated
YOR2864,Yoruba,Mò ḿbọ̀! Máa bọ̀! Àwọn méjèèjì lẹ̀rù bá.,Ìwà tó bẹ̀rẹ̀ ati ìwà tó ní ìwà bẹ̀rẹ̀ ní ìfẹ̀sàn kó wá àwọn ìfẹ̀sàn nílẹ̀,"[""Àwọn méjì tó ní ìwà bẹ̀rẹ̀ kó wá ní ìdára ìpàdì nílẹ̀"", ""Àwọn méjì tó ní ìwà bẹ̀rẹ̀ kó wá ní ìsìná ìbádá"", ""Ìwà tó bẹ̀rẹ̀ ní ìwà kó wá ní ìfẹ̀sàn, àmọ̀ ìwà tó ní ìwà bẹ̀rẹ̀ kó wá ní ìsìná""]",False,S2,Ìwà tó bẹ̀rẹ̀ ati ìwà tó ní ìwà bẹ̀rẹ̀ ní ìfẹ̀sàn kó wá àwọn ìfẹ̀sàn nílẹ̀,Àwọn méjì tó ní ìwà bẹ̀rẹ̀ kó wá ní ìdára ìpàdì nílẹ̀,Àwọn méjì tó ní ìwà bẹ̀rẹ̀ kó wá ní ìsìná ìbádá,"Ìwà tó bẹ̀rẹ̀ ní ìwà kó wá ní ìfẹ̀sàn, àmọ̀ ìwà tó ní ìwà bẹ̀rẹ̀ kó wá ní ìsìná",A,Both the person bluffing and the person calling the bluff are secretly apprehensive.,1.0,generated
YOR1468,Yoruba,"Ọjà tí a fowó rà, owó la fi ńpa.",Ọ̀wàríì kò sílẹ̀ ẹ̀rí àwọn ìṣẹ̀lẹ̀ ìdáìnú,"[""Kò kàn ẹ̀rí ìdáìnú àwọn ìṣẹ̀lẹ̀"", ""Ẹ̀rí àwọn ìṣẹ̀lẹ̀ lò sí ìdáìnú"", ""Ìdílẹ̀ ìdáìnú ní àwọn ìṣẹ̀lẹ̀""]",False,S2,Ẹ̀rí àwọn ìṣẹ̀lẹ̀ lò sí ìdáìnú,Kò kàn ẹ̀rí ìdáìnú àwọn ìṣẹ̀lẹ̀,Ìdílẹ̀ ìdáìnú ní àwọn ìṣẹ̀lẹ̀,Ọ̀wàríì kò sílẹ̀ ẹ̀rí àwọn ìṣẹ̀lẹ̀ ìdáìnú,D,Do not make gifts of commodities purchased for trade.,1.0,generated
YOR0173,Yoruba,"Ara-àìbalẹ̀, olórí àrùn.","Ara-àìbalẹ̀, olórí àrùn. - Kì kọwó ìyà ní ìpàdé tó wó sí ìfẹ̀sìn","[""Kì kọwó ìyà ní ìpàdé tó wó sí ìpàdé àwọn arákùnrin"", ""Ìyà tó wó sí ìfẹ̀sìn jẹ́ kùn pé ìyà tó wó sí ìpàdé"", ""Ìyà tó wó sí àwọn arákùnrin jẹ́ ìyà kùn tó yẹn""]",False,S2,Ìyà tó wó sí àwọn arákùnrin jẹ́ ìyà kùn tó yẹn,Ìyà tó wó sí ìfẹ̀sìn jẹ́ kùn pé ìyà tó wó sí ìpàdé,"Ara-àìbalẹ̀, olórí àrùn. - Kì kọwó ìyà ní ìpàdé tó wó sí ìfẹ̀sìn",Kì kọwó ìyà ní ìpàdé tó wó sí ìpàdé àwọn arákùnrin,C,No disease is greater than hyperactivity.,3.0,generated
YOR0423,Yoruba,"Ohun tó ṣeé faga là ńfaga sí; èwo ni, ‘‘Ìwòyí àná mo ti na ànaà mi fága-fàga’’?",Ìwòyí àná mo ti na ànaà mi fága-fàga,"[""Ìwòyí àná mo ní ìyàntí ìdírìn"", ""Ìwòyí àná mo ní ìyàntí ìlọ́yìn"", ""Ìwòyí àná mo ní ìyàntí ìṣẹ́lẹ̀""]",False,S2,Ìwòyí àná mo ti na ànaà mi fága-fàga,Ìwòyí àná mo ní ìyàntí ìdírìn,Ìwòyí àná mo ní ìyàntí ìṣẹ́lẹ̀,Ìwòyí àná mo ní ìyàntí ìlọ́yìn,A,One should not cheerfully and boastfully embrace disgrace.,2.0,generated
YOR3900,Yoruba,Ẹṣin kì í kọ eré àsárelé,Nobody refuses an exertion that has a great reward at its conclusion.,"[""A different interpretation of this proverb"", ""Another possible meaning"", ""An alternative cultural reading""]",True,S2,Nobody refuses an exertion that has a great reward at its conclusion.,A different interpretation of this proverb,Another possible meaning,An alternative cultural reading,A,Nobody refuses an exertion that has a great reward at its conclusion.,5.0,hard-fallback
YOR3498,Yoruba,Ẹni tó mọ iyì-i wúrà là ńtà á fún.,Ẹni tó mọ iyì-i wúrà là ńtà á fún.,"[""Ẹni tó wúrà ní ìyì-i ní láti rí ìpàdé àwọn arákùnrá."", ""Ẹwò ní ìyì-i wúrà ní láti rí àwọn ìṣòlù."", ""Ẹni tó mọ ìyì-i wúrà ní láti rí àwọn tí ó kò lè ní ìṣòlù.""]",False,S2,Ẹni tó mọ iyì-i wúrà là ńtà á fún.,Ẹni tó wúrà ní ìyì-i ní láti rí ìpàdé àwọn arákùnrá.,Ẹwò ní ìyì-i wúrà ní láti rí àwọn ìṣòlù.,Ẹni tó mọ ìyì-i wúrà ní láti rí àwọn tí ó kò lè ní ìṣòlù.,A,Do not squander treasure on those incapable of appreciating it.,1.0,generated
YOR2511,Yoruba,"Ẹni tí ó ńríni là ńrín; èèyàn tí kò rín èèyàn,aògbọd rín in; ẹ̀rín di méjì a dìjà.","Ẹni tí ó ńríni là ńrín; èèyàn tí kò rín èèyàn, aògbọd rín in; ẹ̀rín di méjì a dìjà.","[""Ẹni tí ó rí ìwà pẹ̀lẹ̀ tí ó kọ́rò dá àwọn arákùnrin."", ""Ẹ̀wà tí ó rí ẹ̀wà lẹ́wọ̀n kò tú ẹ̀wà rẹ̀ lẹ́wọ̀n."", ""Ẹni tí ó kò rí ìpàrí sí ìpàrí rẹ̀ kò tú ìpàrí ìyàáwọn rẹ̀.""]",False,S2,Ẹni tí ó rí ìwà pẹ̀lẹ̀ tí ó kọ́rò dá àwọn arákùnrin.,Ẹni tí ó kò rí ìpàrí sí ìpàrí rẹ̀ kò tú ìpàrí ìyàáwọn rẹ̀.,Ẹ̀wà tí ó rí ẹ̀wà lẹ́wọ̀n kò tú ẹ̀wà rẹ̀ lẹ́wọ̀n.,"Ẹni tí ó ńríni là ńrín; èèyàn tí kò rín èèyàn, aògbọd rín in; ẹ̀rín di méjì a dìjà.",D,One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,1.0,generated
YOR1777,Yoruba,"Kí á ṣá a ṣá a, kí á gbọ̀n ọ́n gbọ̀n ọ́n; ká fi oko eéran sílẹ̀ ló dá eéran lára.",Ẹni tí ó kere ló ti lẹ̀nì lẹ̀nì kí ìyàáwò rìnà ló rìnà,"[""Ẹnìyàn tí ó sìṣẹ̀wò nílẹ̀ yìí kí ìyàáwò sílẹ̀ ló sì"", ""Kí ìyàáwò sílẹ̀ ló dá ìyàáwò lára nípa ẹni tí ó lẹ̀wọ̀n"", ""Kí ìyàáwò sílẹ̀ ló rìrí ìyàáwò lára nípa ẹni tí ó kókè""]",False,S2,Ẹni tí ó kere ló ti lẹ̀nì lẹ̀nì kí ìyàáwò rìnà ló rìnà,Kí ìyàáwò sílẹ̀ ló dá ìyàáwò lára nípa ẹni tí ó lẹ̀wọ̀n,Kí ìyàáwò sílẹ̀ ló rìrí ìyàáwò lára nípa ẹni tí ó kókè,Ẹnìyàn tí ó sìṣẹ̀wò nílẹ̀ yìí kí ìyàáwò sílẹ̀ ló sì,A,The best treatment for a recalcitrant person is to shun him or her.,2.0,generated
YOR0203,Yoruba,"Bí a kò bá dáṣọ lé aṣọ, a kì í pe ọ̀kan lákìísà.",Kò ṣe àṣẹ láti rò ọkọ̀ ẹkùn baba kíkún kíkún kò sílẹ̀ ẹ̀ṣẹ̀ láti ń ṣe ẹ̀ṣẹ̀ nǹkan kíkún ròpẹ̀n.,"[""Ní ìtàn ọkọ̀ ẹkùn kíkún kò láti ń ṣe ẹ̀ṣẹ̀ kíkún ròpẹ̀n."", ""Kò láti ń wàlè ọkọ̀ ẹkùn kíkún ní ẹ̀ṣẹ̀ láti rò ọkọ̀ ẹkùn kíkún ròpẹ̀n."", ""Kò láti ń ṣe ẹ̀ṣẹ̀ kíkún ròpẹ̀n kíkún kò láti ń wàlè ọkọ̀ ẹkùn kíkún.""]",False,S2,Kò ṣe àṣẹ láti rò ọkọ̀ ẹkùn baba kíkún kíkún kò sílẹ̀ ẹ̀ṣẹ̀ láti ń ṣe ẹ̀ṣẹ̀ nǹkan kíkún ròpẹ̀n.,Kò láti ń wàlè ọkọ̀ ẹkùn kíkún ní ẹ̀ṣẹ̀ láti rò ọkọ̀ ẹkùn kíkún ròpẹ̀n.,Kò láti ń ṣe ẹ̀ṣẹ̀ kíkún ròpẹ̀n kíkún kò láti ń wàlè ọkọ̀ ẹkùn kíkún.,Ní ìtàn ọkọ̀ ẹkùn kíkún kò láti ń ṣe ẹ̀ṣẹ̀ kíkún ròpẹ̀n.,A,One may not disdain an old tool until one is able to replace it.,1.0,generated
YOR1723,Yoruba,Ṣìgìdì ò l nu fọhùn; ir ńpur fúnr.,Ṣìgìdì ò l nu fọhùn; ir ńpur fúnr.,"[""Ọ̀rẹ̀ ìlẹ̀wọ̀n kò sí lẹ́wọ̀n pé ẹ̀yí jàwá nípa ìlẹ̀wọ̀n."", ""Ọ̀rẹ̀ ìlẹ̀wọ̀n kò sí lẹ́wọ̀n pé ẹ̀yí wàṣàṣe nípa ẹ̀ṣẹ́ àwọn arákùnrin."", ""Ọ̀rẹ̀ ìlẹ̀wọ̀n kò sí lẹ́wọ̀n pé ẹ̀yí ní ìṣòwò àwọn arákùnrin àti àwọn ẹ̀lẹ̀wọ̀n.""]",False,S2,Ṣìgìdì ò l nu fọhùn; ir ńpur fúnr.,Ọ̀rẹ̀ ìlẹ̀wọ̀n kò sí lẹ́wọ̀n pé ẹ̀yí wàṣàṣe nípa ẹ̀ṣẹ́ àwọn arákùnrin.,Ọ̀rẹ̀ ìlẹ̀wọ̀n kò sí lẹ́wọ̀n pé ẹ̀yí jàwá nípa ìlẹ̀wọ̀n.,Ọ̀rẹ̀ ìlẹ̀wọ̀n kò sí lẹ́wọ̀n pé ẹ̀yí ní ìṣòwò àwọn arákùnrin àti àwọn ẹ̀lẹ̀wọ̀n.,A,The earthen idol has no mouth to speak; lies are lying to lies.,1.0,generated
YOR1566,Yoruba,Àjànàkú kúro ni ‘‘A rí ǹkan fìrí’’; bí a bá rérin ká wí.,Ìyànjúwà: Kò kúro ló sí wàlè lẹhin nípa ìpínlẹ̀ tó ń bẹ̀rẹ̀,"[""Kò ní ìwà ń rí ìpín rẹ̀ lẹ́rin wọn tó kó kàwà"", ""Kò kúro sí àwọn ìpín tó ń bẹ̀rẹ̀ lẹ̀yìn ìlẹ̀-ìyìn"", ""Kò ní ìwà ní ìpínlẹ̀ tó kó kàwà""]",False,S2,Kò ní ìwà ní ìpínlẹ̀ tó kó kàwà,Kò kúro sí àwọn ìpín tó ń bẹ̀rẹ̀ lẹ̀yìn ìlẹ̀-ìyìn,Kò ní ìwà ń rí ìpín rẹ̀ lẹ́rin wọn tó kó kàwà,Ìyànjúwà: Kò kúro ló sí wàlè lẹhin nípa ìpínlẹ̀ tó ń bẹ̀rẹ̀,D,Don’t hedge when discussing the obvious.,1.0,generated
YOR0581,Yoruba,A kì í sọ pé abẹ Ọ̀yọ́ mú; nígbà náà ni yó sọ pé bẹ́ẹ̀ ni òun ò n ò tíì pọn.,Offer no braggart any opportunity to resume his bragging.,"[""A different interpretation of this proverb"", ""Another possible meaning"", ""An alternative cultural reading""]",True,S2,Offer no braggart any opportunity to resume his bragging.,A different interpretation of this proverb,An alternative cultural reading,Another possible meaning,A,Offer no braggart any opportunity to resume his bragging.,5.0,hard-fallback
YOR1821,Yoruba,"Tìkà toore, ọ̀kan kì í gbé.","Tìkà toore, ọ̀kan kì í gbé.","[""Ẹ̀wọ́rìṣẹ̀ ń tọ́n̂ ń láìlọ́kè."", ""Àwọn ará tó ní ẹ̀ṣìn lè ní ìwà pẹ̀lẹ̀."", ""Ìwà rọ̀ṣẹ̀ṣẹ̀ lè lódùn ìwà ẹ̀ṣìn.""]",False,S2,Ìwà rọ̀ṣẹ̀ṣẹ̀ lè lódùn ìwà ẹ̀ṣìn.,Ẹ̀wọ́rìṣẹ̀ ń tọ́n̂ ń láìlọ́kè.,"Tìkà toore, ọ̀kan kì í gbé.",Àwọn ará tó ní ẹ̀ṣìn lè ní ìwà pẹ̀lẹ̀.,C,Wickedness and kindness will be rewarded unfailingly.,1.0,generated
